Command line: None
1683622976.27s: 340.56MB
1683622978.27s: 381.23MB
1683622980.27s: 437.79MB
1683622982.28s: 479.80MB
1683622984.28s: 517.79MB
1683622986.28s: 551.39MB
1683622988.28s: 589.78MB
1683622990.28s: 628.29MB
1683622992.29s: 636.85MB
1683622994.29s: 637.52MB
1683622996.29s: 637.23MB
1683622998.29s: 644.57MB
1683623000.30s: 646.01MB
1683623002.30s: 646.28MB
1683623004.30s: 646.80MB
1683623006.30s: 646.91MB
1683623008.30s: 647.06MB
1683623010.31s: 647.61MB
1683623012.31s: 1610.84MB
1683623014.31s: 648.65MB
1683623016.31s: 1672.21MB
1683623018.31s: 1672.21MB
1683623020.32s: 648.65MB
1683623022.32s: 648.65MB
1683623024.32s: 1732.47MB
1683623026.32s: 1732.47MB
1683623028.32s: 1732.47MB
1683623030.33s: 648.91MB
1683623032.33s: 648.89MB
1683623034.33s: 649.48MB
1683623036.33s: 1290.03MB
1683623038.33s: 657.47MB
1683623040.34s: 1923.35MB
1683623042.34s: 1923.35MB
1683623044.34s: 657.73MB
1683623046.34s: 658.42MB
1683623048.34s: 1450.91MB
1683623050.35s: 1985.98MB
1683623052.35s: 1985.98MB
1683623054.35s: 658.96MB
1683623056.35s: 658.49MB
1683623058.35s: 2046.06MB
1683623060.36s: 659.00MB
1683623062.36s: 2106.14MB
1683623064.36s: 2106.14MB
1683623066.36s: 2106.14MB
1683623068.37s: 658.97MB
1683623070.37s: 658.97MB
1683623072.37s: 2166.37MB
1683623074.37s: 2166.37MB
1683623076.37s: 1660.44MB
1683623078.38s: 659.22MB
1683623080.38s: 659.21MB
1683623082.38s: 659.47MB
1683623084.38s: 661.02MB
1683623086.38s: 666.93MB
1683623088.39s: 2356.36MB
1683623090.39s: 672.64MB
