Command line: dqlite-benchmark -d 127.0.0.1:9001 --driver -c 127.0.0.1:9001 --duration 300 --key-size 128 --value-size 40960
1683632530.64s: 115.58MB
1683632532.64s: 157.39MB
1683632534.64s: 199.03MB
1683632536.64s: 296.68MB
1683632538.65s: 367.29MB
1683632540.65s: 436.48MB
1683632542.65s: 521.57MB
1683632544.65s: 589.79MB
1683632546.65s: 659.21MB
1683632548.65s: 727.62MB
1683632550.66s: 794.72MB
1683632552.66s: 1012.58MB
1683632554.66s: 929.38MB
1683632556.66s: 967.86MB
1683632558.66s: 1014.05MB
1683632560.67s: 1024.32MB
1683632562.67s: 1277.13MB
1683632564.67s: 1055.73MB
1683632566.67s: 1067.54MB
1683632568.68s: 1330.65MB
1683632570.68s: 1088.07MB
1683632572.68s: 1088.10MB
1683632574.68s: 1391.13MB
1683632576.68s: 1393.45MB
1683632578.69s: 1132.01MB
1683632580.69s: 1151.61MB
1683632582.69s: 1453.30MB
1683632584.69s: 1171.96MB
1683632586.70s: 1217.23MB
1683632588.70s: 1277.75MB
1683632590.70s: 1261.43MB
1683632592.70s: 1310.05MB
1683632594.71s: 1443.50MB
1683632596.71s: 1353.42MB
1683632598.71s: 1777.79MB
1683632600.71s: 1394.48MB
1683632602.71s: 1394.48MB
1683632604.72s: 1830.77MB
1683632606.72s: 1830.77MB
1683632608.72s: 1426.49MB
1683632610.72s: 1426.75MB
1683632612.72s: 1758.98MB
1683632614.73s: 1892.85MB
1683632616.73s: 1892.85MB
1683632618.73s: 1469.95MB
1683632620.73s: 1523.99MB
1683632622.73s: 1806.88MB
1683632624.74s: 1564.75MB
1683632626.74s: 1608.78MB
1683632628.74s: 1902.11MB
1683632630.74s: 2154.67MB
1683632632.75s: 2154.67MB
1683632634.75s: 1649.82MB
1683632636.75s: 1907.15MB
1683632638.75s: 2202.80MB
1683632640.76s: 2202.80MB
1683632642.76s: 1677.72MB
1683632644.76s: 1677.89MB
1683632646.76s: 2263.27MB
1683632648.76s: 1721.03MB
1683632650.76s: 1730.72MB
1683632652.77s: 1775.29MB
1683632654.77s: 2403.37MB
1683632656.77s: 1818.80MB
1683632658.77s: 2466.05MB
1683632660.78s: 2466.05MB
1683632662.78s: 1858.57MB
1683632664.80s: 1860.52MB
1683632666.80s: 2505.20MB
1683632668.80s: 2512.23MB
1683632670.80s: 2512.23MB
1683632672.81s: 2512.23MB
1683632674.81s: 1886.02MB
1683632676.81s: 2019.96MB
1683632678.81s: 1944.39MB
1683632680.81s: 2665.96MB
1683632682.82s: 2001.16MB
1683632684.82s: 2032.56MB
1683632686.82s: 2596.96MB
1683632688.82s: 2774.54MB
1683632690.83s: 2774.54MB
1683632692.83s: 2774.54MB
1683632694.83s: 2067.42MB
1683632696.83s: 2067.93MB
1683632698.83s: 2836.66MB
1683632700.84s: 2836.66MB
1683632702.84s: 2836.66MB
1683632704.84s: 2112.10MB
1683632706.84s: 2908.67MB
1683632708.85s: 2162.67MB
1683632710.85s: 2205.74MB
1683632712.85s: 2358.86MB
1683632714.85s: 3036.30MB
1683632716.86s: 3036.30MB
1683632718.86s: 2251.44MB
1683632720.86s: 2251.47MB
1683632722.86s: 3090.09MB
1683632724.86s: 3090.09MB
1683632726.87s: 3090.09MB
1683632728.87s: 3090.34MB
1683632730.87s: 2281.57MB
1683632732.87s: 3068.45MB
1683632734.88s: 2347.87MB
1683632736.88s: 3235.94MB
1683632738.88s: 2731.05MB
1683632740.88s: 3300.59MB
1683632742.89s: 3300.59MB
1683632744.89s: 3300.59MB
1683632746.89s: 2431.47MB
1683632748.89s: 3253.54MB
1683632750.90s: 3344.55MB
1683632752.90s: 3344.55MB
1683632754.90s: 3344.55MB
1683632756.90s: 2455.61MB
1683632758.90s: 2471.52MB
1683632760.91s: 2518.08MB
1683632762.91s: 3169.35MB
1683632764.91s: 3484.47MB
1683632766.91s: 2557.71MB
1683632768.92s: 3533.21MB
1683632770.92s: 3533.21MB
1683632772.92s: 3533.21MB
1683632774.92s: 3533.21MB
1683632776.93s: 3533.21MB
1683632778.93s: 2582.67MB
1683632780.93s: 2582.65MB
1683632782.93s: 3596.95MB
1683632784.93s: 2627.47MB
1683632786.94s: 3675.15MB
1683632788.94s: 2694.52MB
1683632790.94s: 3735.50MB
1683632792.94s: 3735.50MB
1683632794.95s: 3735.50MB
1683632796.95s: 3735.50MB
1683632798.95s: 2725.21MB
1683632800.95s: 3312.19MB
1683632802.95s: 3782.65MB
1683632804.96s: 3782.65MB
1683632806.96s: 3782.90MB
1683632808.96s: 2769.67MB
1683632810.96s: 3861.52MB
1683632812.97s: 3107.77MB
1683632814.97s: 3924.72MB
1683632816.97s: 3924.72MB
1683632818.97s: 3924.72MB
1683632820.98s: 3924.72MB
1683632822.98s: 3924.72MB
1683632824.98s: 2852.32MB
