Command line: dqlite-benchmark -d 127.0.0.1:9001 --driver -c 127.0.0.1:9001 --duration 300 --key-size 128 --value-size 40960 --disk
1683632988.96s: 75.14MB
1683632990.96s: 113.71MB
1683632992.96s: 201.05MB
1683632994.96s: 274.50MB
1683632996.96s: 312.78MB
1683632998.96s: 355.85MB
1683633000.97s: 380.45MB
1683633002.97s: 422.65MB
1683633004.97s: 848.12MB
1683633006.97s: 521.60MB
1683633008.97s: 560.02MB
1683633010.98s: 600.78MB
1683633012.98s: 638.65MB
1683633014.98s: 655.17MB
1683633016.98s: 656.15MB
1683633018.98s: 656.32MB
1683633020.99s: 662.96MB
1683633022.99s: 1384.39MB
1683633024.99s: 663.82MB
1683633026.99s: 664.11MB
1683633028.99s: 1445.55MB
1683633031.00s: 664.14MB
1683633033.00s: 664.44MB
1683633035.00s: 664.60MB
1683633037.00s: 1506.99MB
1683633039.01s: 664.42MB
1683633041.01s: 664.61MB
1683633043.01s: 1567.77MB
1683633045.01s: 665.07MB
1683633047.01s: 665.37MB
1683633049.02s: 665.37MB
1683633051.02s: 668.06MB
1683633053.02s: 668.58MB
1683633055.02s: 674.27MB
1683633057.03s: 1820.37MB
1683633059.03s: 1820.37MB
1683633061.03s: 677.57MB
1683633063.03s: 677.57MB
1683633065.03s: 1881.82MB
1683633067.04s: 1881.82MB
1683633069.04s: 677.57MB
1683633071.04s: 677.57MB
1683633073.04s: 1941.79MB
1683633075.05s: 1941.79MB
1683633077.05s: 678.32MB
1683633079.05s: 1172.54MB
1683633081.05s: 679.00MB
1683633083.05s: 679.00MB
1683633085.06s: 678.98MB
1683633087.06s: 685.35MB
1683633089.06s: 2191.61MB
1683633091.06s: 2191.61MB
1683633093.07s: 2191.61MB
1683633095.07s: 2191.61MB
1683633097.07s: 686.89MB
1683633099.07s: 686.89MB
1683633101.07s: 2253.79MB
1683633103.08s: 2253.79MB
1683633105.08s: 2253.79MB
1683633107.08s: 2253.79MB
1683633109.08s: 2253.79MB
1683633111.09s: 687.15MB
1683633113.09s: 687.15MB
1683633115.09s: 687.15MB
1683633117.09s: 687.15MB
1683633119.10s: 2314.43MB
1683633121.10s: 688.42MB
1683633123.10s: 2376.49MB
1683633125.10s: 2376.49MB
1683633127.11s: 2376.49MB
1683633129.11s: 2376.49MB
1683633131.11s: 688.42MB
1683633133.11s: 688.42MB
1683633135.11s: 688.42MB
1683633137.11s: 2436.74MB
1683633139.12s: 2436.74MB
1683633141.12s: 2436.74MB
1683633143.12s: 2436.74MB
1683633145.12s: 2436.74MB
1683633147.13s: 2436.74MB
1683633149.13s: 688.42MB
1683633151.13s: 688.42MB
1683633153.13s: 689.19MB
1683633155.14s: 689.19MB
1683633157.14s: 821.86MB
1683633159.14s: 2497.90MB
1683633161.14s: 2497.90MB
1683633163.15s: 2497.90MB
1683633165.15s: 2497.90MB
1683633167.15s: 2497.90MB
1683633169.15s: 2497.90MB
1683633171.16s: 2497.90MB
1683633173.16s: 689.19MB
1683633175.16s: 688.69MB
1683633177.16s: 688.69MB
1683633179.17s: 688.69MB
1683633181.17s: 2558.06MB
1683633183.17s: 2558.06MB
1683633185.17s: 2558.06MB
1683633187.18s: 2558.06MB
1683633189.18s: 2558.06MB
1683633191.18s: 2558.06MB
1683633193.18s: 2558.06MB
1683633195.19s: 2558.06MB
1683633197.19s: 688.69MB
1683633199.19s: 688.69MB
1683633201.19s: 689.91MB
1683633203.20s: 2617.76MB
1683633205.20s: 2617.76MB
1683633207.20s: 2617.76MB
1683633209.20s: 2617.76MB
1683633211.21s: 2617.76MB
1683633213.21s: 689.20MB
1683633215.21s: 689.46MB
1683633217.21s: 2679.20MB
1683633219.21s: 2679.20MB
1683633221.22s: 2679.20MB
1683633223.22s: 2679.20MB
1683633225.22s: 2679.20MB
1683633227.22s: 689.46MB
1683633229.23s: 689.71MB
1683633231.23s: 689.97MB
1683633233.23s: 1072.77MB
1683633235.23s: 2740.41MB
1683633237.24s: 2740.41MB
1683633239.24s: 2740.41MB
1683633241.24s: 2740.41MB
1683633243.24s: 2740.41MB
1683633245.24s: 690.76MB
1683633247.24s: 690.76MB
1683633249.25s: 2154.01MB
1683633251.25s: 2801.23MB
1683633253.25s: 2801.23MB
1683633255.25s: 2801.23MB
1683633257.26s: 2801.23MB
1683633259.26s: 2801.23MB
1683633261.26s: 690.99MB
1683633263.26s: 691.24MB
1683633265.26s: 2861.97MB
1683633267.27s: 2861.97MB
1683633269.27s: 2861.97MB
1683633271.27s: 2861.97MB
1683633273.27s: 2861.97MB
1683633275.27s: 2861.97MB
1683633277.28s: 691.50MB
1683633279.28s: 691.50MB
1683633281.28s: 691.50MB
1683633283.28s: 2924.24MB
1683633285.29s: 2924.24MB
1683633287.29s: 2927.59MB
