Command line: dqlite-benchmark -d 127.0.0.1:9001 --driver -c 127.0.0.1:9001 --duration 300 --key-size 128 --value-size 40960 --workload kvreadwrite
1684306832.11s: 79.30MB
1684306834.11s: 146.30MB
1684306836.11s: 222.71MB
1684306838.12s: 329.38MB
1684306840.12s: 429.71MB
1684306842.12s: 577.53MB
1684306844.12s: 557.95MB
1684306846.12s: 621.03MB
1684306848.12s: 712.39MB
1684306850.13s: 773.74MB
1684306852.13s: 835.46MB
1684306854.13s: 1064.18MB
1684306856.13s: 962.17MB
1684306858.14s: 1002.04MB
1684306860.14s: 1240.91MB
1684306862.14s: 1045.81MB
1684306864.14s: 1089.09MB
1684306866.14s: 1371.30MB
1684306868.14s: 1131.30MB
1684306870.15s: 1172.95MB
1684306872.15s: 1491.67MB
1684306874.15s: 1213.45MB
1684306876.15s: 1254.25MB
1684306878.16s: 1285.81MB
1684306880.16s: 1296.13MB
1684306882.16s: 1337.94MB
1684306884.16s: 1351.41MB
1684306886.16s: 1378.88MB
1684306888.16s: 1808.45MB
1684306890.17s: 1428.30MB
1684306892.17s: 1467.66MB
1684306894.17s: 1790.73MB
1684306896.17s: 1510.63MB
1684306898.17s: 1553.10MB
1684306900.17s: 1632.48MB
1684306902.18s: 1594.72MB
1684306904.18s: 2116.19MB
1684306906.18s: 1635.26MB
1684306908.18s: 1680.32MB
1684306910.18s: 2044.41MB
1684306912.19s: 1726.35MB
1684306914.19s: 2306.30MB
1684306916.19s: 2306.30MB
1684306918.19s: 2306.30MB
1684306920.19s: 1764.93MB
1684306922.20s: 1766.76MB
1684306924.20s: 2360.33MB
1684306926.20s: 2360.33MB
1684306928.20s: 2360.33MB
1684306930.20s: 1798.19MB
1684306932.21s: 2063.37MB
1684306934.21s: 1857.52MB
1684306936.21s: 2502.59MB
1684306938.21s: 1900.71MB
1684306940.22s: 1942.33MB
1684306942.22s: 2386.90MB
1684306944.22s: 2626.65MB
1684306946.22s: 2626.65MB
1684306948.22s: 1983.10MB
1684306950.22s: 1983.15MB
1684306952.23s: 2672.56MB
1684306954.23s: 2672.56MB
1684306956.23s: 2672.56MB
1684306958.23s: 2007.71MB
1684306960.24s: 2009.54MB
1684306962.24s: 2649.16MB
1684306964.24s: 2068.97MB
1684306966.24s: 2811.55MB
1684306968.24s: 2107.08MB
1684306970.25s: 2874.38MB
1684306972.25s: 2874.38MB
1684306974.25s: 2151.32MB
1684306976.25s: 2171.62MB
1684306978.26s: 2931.52MB
1684306980.26s: 2931.52MB
1684306982.26s: 2931.52MB
1684306984.26s: 2931.77MB
1684306986.26s: 2188.46MB
1684306988.27s: 2193.36MB
1684306990.27s: 2232.34MB
1684306992.27s: 2500.49MB
1684306994.27s: 2289.75MB
1684306996.27s: 3123.50MB
1684306998.27s: 3123.50MB
1684307000.28s: 3123.50MB
1684307002.28s: 2318.61MB
1684307004.28s: 2318.86MB
1684307006.28s: 3177.73MB
1684307008.28s: 3177.73MB
1684307010.29s: 3177.73MB
1684307012.29s: 3177.73MB
1684307014.29s: 2354.11MB
1684307016.29s: 3254.00MB
1684307018.30s: 2415.68MB
1684307020.30s: 3325.00MB
1684307022.30s: 2470.04MB
1684307024.30s: 3365.67MB
1684307026.30s: 3365.67MB
1684307028.31s: 3365.67MB
1684307030.31s: 3365.67MB
1684307032.31s: 2479.84MB
1684307034.31s: 2480.70MB
1684307036.32s: 3052.11MB
1684307038.32s: 3425.93MB
1684307040.32s: 2522.36MB
1684307042.32s: 2843.48MB
1684307044.32s: 2586.51MB
1684307046.33s: 3391.43MB
1684307048.33s: 3572.36MB
1684307050.33s: 3572.36MB
1684307052.33s: 3572.36MB
1684307054.33s: 2626.77MB
1684307056.34s: 3299.98MB
1684307058.34s: 3618.27MB
1684307060.34s: 3618.27MB
1684307062.34s: 3618.27MB
1684307064.34s: 2651.87MB
1684307066.34s: 3107.96MB
1684307068.35s: 2716.99MB
1684307070.35s: 2849.75MB
1684307072.35s: 3740.62MB
1684307074.35s: 3740.62MB
1684307076.36s: 3740.62MB
1684307078.36s: 3740.62MB
1684307080.36s: 3740.62MB
1684307082.36s: 2735.23MB
1684307084.36s: 2736.45MB
1684307086.37s: 3805.77MB
1684307088.37s: 2780.07MB
1684307090.37s: 3241.70MB
1684307092.37s: 3883.16MB
1684307094.38s: 3883.16MB
1684307096.38s: 3883.16MB
1684307098.38s: 2836.30MB
1684307100.38s: 2841.96MB
1684307102.38s: 3929.82MB
1684307104.38s: 3929.82MB
1684307106.39s: 3929.82MB
1684307108.39s: 3929.82MB
1684307110.39s: 2865.57MB
1684307112.39s: 4008.34MB
1684307114.40s: 4008.34MB
1684307116.40s: 4008.34MB
1684307118.40s: 2920.66MB
1684307120.40s: 3202.24MB
1684307122.40s: 4056.05MB
1684307124.41s: 4056.05MB
1684307126.41s: 4056.05MB
1684307128.41s: 4056.05MB
1684307130.41s: 2948.88MB
