Command line: dqlite-benchmark -d 127.0.0.1:9001 --driver -c 127.0.0.1:9001 --duration 300 --key-size 128 --value-size 40960 --workload kvreadwrite --disk
1684307246.97s: 58.10MB
1684307248.97s: 93.41MB
1684307250.97s: 132.55MB
1684307252.97s: 213.17MB
1684307254.98s: 283.04MB
1684307256.98s: 319.24MB
1684307258.98s: 355.27MB
1684307260.98s: 409.71MB
1684307262.98s: 446.84MB
1684307264.98s: 480.74MB
1684307266.99s: 516.68MB
1684307268.99s: 552.20MB
1684307270.99s: 588.10MB
1684307272.99s: 1164.74MB
1684307275.00s: 628.71MB
1684307277.00s: 629.03MB
1684307279.00s: 629.40MB
1684307281.00s: 638.43MB
1684307283.00s: 1355.93MB
1684307285.00s: 639.50MB
1684307287.01s: 640.18MB
1684307289.01s: 852.13MB
1684307291.01s: 641.07MB
1684307293.01s: 641.55MB
1684307295.01s: 641.04MB
1684307297.02s: 641.51MB
1684307299.02s: 1659.64MB
1684307301.02s: 1659.64MB
1684307303.02s: 642.22MB
1684307305.02s: 642.02MB
1684307307.03s: 1720.21MB
1684307309.03s: 1720.21MB
1684307311.03s: 643.73MB
1684307313.04s: 1780.51MB
1684307315.04s: 644.66MB
1684307317.04s: 645.23MB
1684307319.04s: 785.28MB
1684307321.04s: 648.28MB
1684307323.05s: 1966.74MB
1684307325.05s: 1967.17MB
1684307327.05s: 651.41MB
1684307329.05s: 755.69MB
1684307331.06s: 2028.92MB
1684307333.06s: 2028.92MB
1684307335.06s: 651.51MB
1684307337.06s: 651.77MB
1684307339.06s: 1846.96MB
1684307341.07s: 2089.16MB
1684307343.07s: 652.02MB
1684307345.07s: 2151.89MB
1684307347.07s: 662.31MB
1684307349.07s: 1630.14MB
1684307351.08s: 2220.83MB
1684307353.08s: 2220.83MB
1684307355.08s: 663.23MB
1684307357.08s: 662.65MB
1684307359.08s: 1249.86MB
1684307361.09s: 2281.09MB
1684307363.09s: 2281.09MB
1684307365.09s: 2281.09MB
1684307367.09s: 664.44MB
1684307369.10s: 1906.72MB
1684307371.10s: 2342.16MB
1684307373.10s: 2342.16MB
1684307375.10s: 2342.16MB
1684307377.10s: 664.38MB
1684307379.10s: 664.59MB
1684307381.11s: 2402.73MB
1684307383.11s: 2402.73MB
1684307385.11s: 2402.73MB
1684307387.11s: 664.84MB
1684307389.12s: 2463.15MB
1684307391.12s: 665.26MB
1684307393.12s: 2523.29MB
1684307395.12s: 2523.29MB
1684307397.12s: 2523.29MB
1684307399.13s: 666.18MB
1684307401.13s: 666.18MB
1684307403.13s: 2584.16MB
1684307405.13s: 2584.16MB
1684307407.13s: 2584.16MB
1684307409.14s: 2584.16MB
1684307411.14s: 666.51MB
1684307413.14s: 2644.43MB
1684307415.14s: 2644.43MB
1684307417.14s: 667.79MB
1684307419.15s: 2022.96MB
1684307421.15s: 2707.42MB
1684307423.15s: 2707.42MB
1684307425.15s: 2707.42MB
1684307427.16s: 669.14MB
1684307429.16s: 669.67MB
1684307431.16s: 2084.75MB
1684307433.16s: 669.67MB
1684307435.16s: 669.67MB
1684307437.16s: 2828.69MB
1684307439.17s: 2828.69MB
1684307441.17s: 2828.69MB
1684307443.17s: 2828.69MB
1684307445.17s: 2801.74MB
1684307447.18s: 669.67MB
1684307449.18s: 1340.14MB
1684307451.18s: 2889.74MB
1684307453.18s: 670.19MB
1684307455.18s: 913.92MB
1684307457.18s: 2948.54MB
1684307459.19s: 2948.54MB
1684307461.19s: 2948.54MB
1684307463.19s: 672.68MB
1684307465.19s: 672.68MB
1684307467.19s: 2818.59MB
1684307469.20s: 3012.71MB
1684307471.20s: 3012.71MB
1684307473.20s: 673.27MB
1684307475.20s: 673.27MB
1684307477.20s: 3079.50MB
1684307479.21s: 3079.50MB
1684307481.21s: 681.16MB
1684307483.21s: 2717.55MB
1684307485.21s: 3140.04MB
1684307487.22s: 3140.04MB
1684307489.22s: 3140.04MB
1684307491.22s: 3140.04MB
1684307493.22s: 681.16MB
1684307495.22s: 681.42MB
1684307497.23s: 3202.31MB
1684307499.23s: 682.20MB
1684307501.23s: 789.14MB
1684307503.23s: 3261.39MB
1684307505.23s: 3261.39MB
1684307507.24s: 3261.39MB
1684307509.24s: 3261.39MB
1684307511.24s: 681.59MB
1684307513.24s: 681.93MB
1684307515.25s: 683.66MB
1684307517.25s: 3324.64MB
1684307519.25s: 3324.64MB
1684307521.25s: 3324.64MB
1684307523.25s: 683.67MB
1684307525.26s: 683.93MB
1684307527.26s: 3384.87MB
1684307529.26s: 3384.87MB
1684307531.26s: 3384.87MB
1684307533.26s: 3384.87MB
1684307535.27s: 683.41MB
1684307537.27s: 1712.55MB
1684307539.27s: 3445.23MB
1684307541.27s: 3445.23MB
1684307543.28s: 685.05MB
